,date,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2021-02-21,37.4,32.0,42.1,0.02,222.0,10.1,1025.2
1,2021-02-22,42.8,39.0,46.9,0.055,235.0,14.0,1017.7
2,2021-02-23,36.3,28.9,43.0,0.0,260.0,7.6,1020.4
3,2021-02-24,31.5,24.1,39.0,0.0,279.0,4.3,1031.5
4,2021-02-25,36.9,30.9,45.0,0.102,207.0,11.6,1016.9
5,2021-02-26,37.8,34.0,44.1,0.0,251.0,7.4,1007.9
6,2021-02-27,35.1,28.0,42.1,0.004,273.0,5.0,1017.8
7,2021-02-28,38.5,32.0,45.0,0.0,177.0,7.0,1024.3
8,2021-03-01,41.5,30.0,53.1,0.0,343.0,3.9,1020.3
9,2021-03-02,44.4,37.0,55.9,0.0,305.0,5.9,1014.1
10,2021-03-03,42.3,30.0,60.1,0.0,21.0,2.4,1011.8
11,2021-03-04,43.9,30.0,61.0,0.0,30.0,3.6,1017.4
12,2021-03-05,47.8,34.0,63.0,0.0,39.0,5.8,1015.0
13,2021-03-06,42.4,37.0,51.1,0.0,238.0,8.0,1013.0
14,2021-03-07,39.7,33.1,48.9,0.016,12.0,7.7,1018.7
15,2021-03-08,36.3,28.0,48.0,0.0,16.0,3.0,1017.8
16,2021-03-09,37.4,30.0,48.9,0.0,26.0,2.5,1016.8
17,2021-03-10,36.0,26.1,48.0,0.0,10.0,1.9,1014.8
18,2021-03-11,37.0,26.1,52.0,0.0,340.0,2.7,1022.5
19,2021-03-12,39.4,27.0,54.0,0.0,6.0,2.1,1026.0
20,2021-03-13,41.4,28.0,57.9,0.0,1.0,1.4,1023.7
21,2021-03-14,42.65,32.5,53.4,0.0,132.5,3.25,1018.75
22,2021-03-15,43.9,37.0,48.9,0.0,264.0,5.1,1013.8
23,2021-03-16,41.0,28.9,54.0,0.0,0.0,1.9,1018.6
24,2021-03-17,42.8,28.9,60.1,0.0,15.0,1.3,1018.0
25,2021-03-18,51.1,35.1,64.9,0.0,26.0,5.4,1012.2
26,2021-03-19,46.9,39.0,53.1,0.071,221.0,7.8,1015.4
27,2021-03-20,43.2,35.1,52.0,0.0,232.0,8.4,1017.1
28,2021-03-21,39.7,35.1,46.9,0.004,216.0,9.4,1021.5
29,2021-03-22,37.9,32.0,46.9,0.26,216.0,5.2,1015.4
30,2021-03-23,38.1,30.0,51.1,0.0,11.0,3.2,1025.5
31,2021-03-24,39.6,37.0,42.1,0.169,212.0,5.3,1012.1
32,2021-03-25,40.6,35.1,51.1,0.008,5.0,2.1,1008.3
33,2021-03-26,43.0,32.0,53.1,0.0,261.0,5.9,1018.4
34,2021-03-27,46.6,34.0,57.0,0.0,246.0,5.5,1024.4
35,2021-03-28,48.7,37.0,59.0,0.016,237.0,13.8,1010.2
36,2021-03-29,38.1,28.9,45.0,0.0,275.0,9.9,1017.2
37,2021-03-30,38.7,28.0,50.0,0.0,280.0,5.0,1027.4
38,2021-03-31,43.0,28.0,59.0,0.0,24.0,2.8,1028.7
39,2021-04-01,48.6,33.1,66.0,0.0,336.0,5.4,1013.2
40,2021-04-02,52.3,36.0,64.0,0.0,301.0,6.0,1014.0
41,2021-04-03,50.7,37.9,64.0,0.0,349.0,4.4,1018.4
42,2021-04-04,47.8,43.0,55.0,0.071,323.0,4.4,1016.9
43,2021-04-05,45.0,34.0,57.0,0.0,328.0,2.4,1016.7
44,2021-04-06,46.8,33.1,60.1,0.0,212.0,5.2,1017.6
45,2021-04-07,47.1,34.0,57.0,0.0,215.0,9.1,1013.3
46,2021-04-08,44.1,37.9,52.0,0.043,240.0,8.7,1016.9
47,2021-04-09,44.8,30.0,55.0,0.0,243.0,8.9,1018.6
48,2021-04-10,42.8,34.0,48.9,0.004,274.0,11.1,1014.0
49,2021-04-11,37.2,26.1,50.0,0.0,351.0,2.0,1024.6
50,2021-04-12,41.9,27.0,55.0,0.0,45.0,7.3,1026.6
51,2021-04-13,48.0,39.9,57.0,0.0,48.0,10.7,1025.9
52,2021-04-14,52.7,39.0,66.0,0.0,53.0,9.6,1021.3
53,2021-04-15,54.5,37.9,69.1,0.0,35.0,5.8,1020.2
54,2021-04-16,53.8,36.0,71.1,0.0,34.0,4.3,1024.6
55,2021-04-17,55.8,36.0,75.0,0.0,353.0,2.9,1023.9
56,2021-04-18,57.9,41.0,75.9,0.0,25.0,9.1,1018.4
57,2021-04-19,48.0,39.9,57.0,0.0,47.0,10.3,1026.2
