,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2021-01-01,39.0,36.0,43.0,0.051,,,3.2,,1017.0,
1,2021-01-02,41.4,39.0,44.1,0.213,,210.0,11.6,,1011.8,
2,2021-01-03,42.1,37.0,46.0,0.189,,232.0,11.7,,1011.1,
3,2021-01-04,39.9,35.1,45.0,0.189,,28.0,4.5,,1009.3,
4,2021-01-05,39.2,36.0,43.0,0.0,,164.0,6.0,,1021.2,
5,2021-01-06,41.5,39.0,45.0,0.256,,69.0,4.2,,1019.1,
6,2021-01-07,38.1,32.0,41.0,0.075,,16.0,0.9,,1026.5,
7,2021-01-08,34.7,30.0,39.9,0.0,,1.0,1.3,,1025.3,
8,2021-01-09,36.3,30.9,39.9,0.0,,357.0,1.4,,1030.7,
9,2021-01-10,35.8,30.9,41.0,0.0,,20.0,1.2,,1027.6,
10,2021-01-11,39.0,36.0,44.1,0.028,,3.0,1.2,,1024.0,
11,2021-01-12,43.3,37.9,48.0,0.461,,104.0,6.5,,1012.4,
12,2021-01-13,43.2,33.1,53.1,0.181,,247.0,16.2,,1017.5,
13,2021-01-14,32.9,26.1,43.0,0.0,,10.0,0.9,,1035.6,
14,2021-01-15,33.3,26.2,37.9,0.0,,49.0,2.6,,1030.6,
15,2021-01-16,37.0,34.0,41.0,0.0,,359.0,1.1,,1030.6,
16,2021-01-17,36.7,36.0,37.9,0.079,,295.0,2.9,,1027.3,
17,2021-01-18,34.0,28.0,39.0,0.0,,348.0,1.6,,1032.7,
18,2021-01-19,30.7,25.0,37.0,0.0,,359.0,1.4,,1032.6,
19,2021-01-20,32.2,28.0,37.0,0.0,,2.0,0.3,,1022.1,
20,2021-01-21,31.5,27.0,37.0,0.0,,3.0,0.3,,1020.3,
21,2021-01-22,27.5,21.9,37.0,0.0,,4.0,0.6,,1018.6,
22,2021-01-23,24.4,19.0,30.9,0.0,,359.0,0.3,,1019.8,
23,2021-01-24,26.8,19.9,30.9,0.0,,4.0,0.3,,1011.4,
24,2021-01-25,28.9,26.1,32.0,0.031,,352.0,0.6,,1011.2,
25,2021-01-26,30.0,28.0,34.0,0.02,,16.0,2.0,,1009.4,
26,2021-01-27,33.4,28.0,37.9,0.071,,70.0,4.5,,1006.2,
27,2021-01-28,36.1,30.0,42.1,0.012,,2.0,0.6,,1008.2,
28,2021-01-29,34.0,32.0,37.0,0.02,,342.0,2.1,,1009.3,
29,2021-01-30,38.7,34.0,44.1,0.0,,28.0,2.1,,1017.9,
30,2021-01-31,42.8,39.0,46.9,0.012,,54.0,3.8,,1019.3,
31,2021-02-01,46.8,37.9,54.0,0.004,,42.0,3.6,,1012.0,
32,2021-02-02,43.5,33.1,51.1,0.031,,218.0,10.3,,1009.8,
33,2021-02-03,34.7,28.0,42.1,0.0,,323.0,3.2,,1017.4,
34,2021-02-04,36.1,32.0,41.0,0.043,,235.0,6.0,,1023.4,
35,2021-02-05,41.5,35.1,50.0,0.039,,258.0,6.3,,1015.3,
36,2021-02-06,39.2,32.0,46.9,0.012,,251.0,7.5,,1010.6,
37,2021-02-07,34.0,28.9,37.0,0.02,,315.0,2.8,,1011.8,
38,2021-02-08,29.5,27.0,33.1,0.0,,344.0,3.9,,1016.3,
